Nazwa,Numer,Id
Marynarki Polskiej,4,1641
Śnieżna,3,1642
Śnieżna,4,1643
Stadion,3,1644
Stadion,4,1645
Swojska,3,1646
Swojska,4,1647
Stocznia Północna,3,1648
Stocznia Północna,4,1649
Grudziądzka,3,1650
Korczaka,2,1651
Wyspiańskiego,3,1652
Drzewieckiego,2,1653
Mickiewicza,5,1654
Mickiewicza,4,1655
Świbnieńska II,1,1656
Świbnieńska II,2,1657
Bysewo,1,1658
Bysewo,2,1659
Dworkowa,1,1660
Akademia Muzyczna,4,1661
Akademia Muzyczna,3,1662
Kamienna Grobla,1,1664
Opacka,4,1665
Górskiego,2,1667
Górskiego,1,1668
Nadwodna,1,1669
Pólnicy,1,1670
Przesypownia,2,1671
Jeziorowa,2,1672
Jeziorowa,1,1673
Jaworowa,2,1676
Jaworowa,1,1677
Boguckiego,1,1680
Boguckiego,2,1681
Dobra,1,1682
Szadółki,1,1684
Szadółki,2,1685
Przywidzka,1,1686
Przywidzka,2,1687
Na Szańcach,2,1689
Sucharskiego,4,1692
Kartuska,1,1703
Kopeckiego,1,1704
Łanowa I,1,1705
Łanowa III,1,1706
Łanowa IV,1,1707
Modra I,1,1708
Modra II,1,1709
Modra III,1,1710
Modra IV,1,1711
Bursztynowa,2,1714
Bursztynowa,1,1715
Oliwa PKP,1,1716
Cieszyńskiego,4,1717
Życzliwa,2,1719
Życzliwa,1,1720
Gostyńska Szpital,2,1721
Gostyńska Szpital,1,1722
Piekarnicza,3,1723
Piekarnicza,4,1724
Sobótki,2,1725
Belgradzka,3,1726
"SDO ""Złota Jesień""",1,1727
Skarżyńskiego,1,1728
Terminal - Cargo,2,1731
Terminal - Cargo,1,1732
Firoga,2,1733
Platynowa,2,1734
Karskiego,2,1735
Karskiego,1,1736
Skarżyńskiego,2,1737
Kilińskiego,1,1739
Beniowskiego,1,1740
Beniowskiego,2,1741
Świętokrzyska,2,1742
Świętokrzyska,1,1743
Góralska,1,1745
Góralska,2,1746
Spadochroniarzy,1,1747
Kopeckiego,2,1748
Radiowa,1,1749
"Ogrody Działkowe ""Rębiechowo"" III",1,1750
"Ogrody Działkowe ""Rębiechowo"" III",2,1751
Zaspa SKM,1,1752
Sikorskiego,5,1753
Rozstaje,5,1754
Rozstaje,4,1755
Srebrna,1,1756
Srebrna,2,1757
Falowa,1,1758
Falowa,2,1759
Stokrotki,1,1760
Gospody,1,1761
Pomorska,3,1762
Sobieszewska,2,1763
Sobieszewska,1,1764
Oriona,2,1765
Oriona,1,1766
Hynka,2,1767
Hynka,1,1768
Olszyńska,1,1770
Przybrzeżna,3,1771
Kolonia Mysia,1,1772
Kolonia Mysia,2,1773
Głucha,1,1774
Głucha,2,1775
Migowo,4,1777
Oliwa Pętla Tramwajowa,5,1778
Sikorskiego,4,1780
Keplera,2,1785
Keplera,1,1786
Wodnika,2,1787
Wodnika,1,1788
Wieżycka,2,1789
Wieżycka,1,1790
Przymorze SKM,2,1791
Przymorze SKM,1,1792
Abrahama,2,1793
Abrahama,1,1794
Karczemki,3,1795
Wojska Polskiego,3,1796
Łapińska,2,1797
Łapińska,1,1798
Liliowa,2,1799
Liliowa,1,1800
Złota Karczma,1,1802
Szadółki Obwodnica,2,1803
Szadółki Obwodnica,1,1804
Lubowidzka,2,1805
Lubowidzka,1,1806
Norblina,1,1820
Reymonta,1,1825
Bajana,3,1826
Forsycji,2,1827
Forsycji,1,1828
Obrońców Westerplatte,5,1833
"Hala ""Olivia""",1,1840
"Hala ""Olivia""",2,1841
Turystyczna,1,1842
Turystyczna,2,1843
Sąsiedzka,1,1844
Sąsiedzka,2,1845
Nad Jarem,2,1846
Suchanino,2,1847
Wołkowyska,1,1848
Wołkowyska,2,1849
Zacna,1,1850
Zacna,2,1851
Przywidzka,3,1852
Staw Wróbla,2,1853
Czermińskiego,1,1854
Szmaragdowa,1,1856
Knyszyńska,1,1859
Srebrna,3,1860
Osiedle Jary,2,1861
Osiedle Jary,1,1862
Rogalińska,2,1863
Rogalińska,1,1864
Płocka,6,1865
Płocka,5,1866
Smoluchowskiego,2,1867
Smoluchowskiego,1,1868
Staw Wróbla,1,1872
Przeróbka,02.,1877
Lenartowicza,01.,1878
Lenartowicza,02.,1879
Olimpijska,2,1882
Marsa,2,1883
Marsa,1,1884
Owczarnia,2,1885
Owczarnia,1,1886
Ikara,4,1887
Ikara,3,1888
Kontenerowa,2,1889
Śluza,1,1890
Marynarki Polskiej,3,1893
Bażyńskiego,5,1894
Bora Komorowskiego,6,1895
Bora Komorowskiego,5,1896
Kontenerowa,1,1898
Terminal DCT,1,1900
Hokejowa,2,1901
Hokejowa,1,1902
Telewizyjna,2,1905
Telewizyjna,1,1906
Zbieżna,2,1909
Grudziądzka,4,1910
Opera Bałtycka,6,1912
Centrum Onkologii,4,1913
Traugutta,3,1914
Uniwersyteckie Centrum Kliniczne,2,1915
Szpital Zakaźny,1,1916
Szpital Zakaźny,2,1917
Centrum Medycyny Inwazyjnej,1,1920
